bytes_sent,index,source_port,destination_ip,log_level,system_type,action,timestamp,destination_port,host_name,domain_name,response_code,bytes_received,query_duration,event_id,description,direction,status,response,application,service_name,process_id,protocol,rule_id,severity,query_type,message,user_id,session_duration,source_ip
,DNS,,197.140.1.247,,,,2025-09-30T02:09:57.566266,,,internal.net,0,,0.213,19127a35-5258-435a-baae-c0c4df4be4a8,,,,NOERROR,,,,,,info,TXT,,,,192.168.240.86
,Security,,172.20.130.129,,,login,2025-09-30T02:10:45.281859,,,,,,,9adccd63-a6c9-474e-8dd9-62b5809d807e,account locked for user on outlook,,success,,ssh,,,,,low,,,user100,,192.168.207.214
1467144,Network,25796,10.119.62.31,,,,2025-09-30T01:27:52.494939,55140,,,,810473,,35bca1d9-5092-42bb-89ba-d303651ca26a,,,,,,,,UDP,,info,,,,250.595,239.70.28.186
,System Log,,192.168.170.131,ERROR,linux,,2025-09-30T01:59:18.720619,,LNX-2442,,,,,867938d7-ab26-4030-a967-7a17604c4088,,,,,,httpd,16992,,,CRITICAL,,Configuration reload,,,172.31.236.199
,Firewall,24739,172.16.183.189,,,drop,2025-09-30T01:57:13.996293,22,,,,,,2057c107-40a8-422f-93c2-f9f53a49b579,,outbound,,,,,,ICMP,FW_RULE_2066,warning,,,,,10.55.57.232
,DNS,,107.233.151.93,,,,2025-09-30T02:12:29.297524,,,wiki.internal.net,2,,0.238,9eb708fb-ae3c-4ef9-bdfb-1b370a1f607d,,,,SERVFAIL,,,,,,info,AAAA,,,,10.3.166.129
,Security,,172.27.154.19,,,logout,2025-09-30T01:38:18.039264,,,,,,,3bfce3bd-5de9-4781-b049-c36981c11af7,session timeout for user on ssh,,success,,zoom,,,,,medium,,,user41,,192.168.175.223
81355,Network,49432,172.27.0.131,,,,2025-09-30T01:36:41.292226,3306,,,,81700,,44bdd944-f126-4063-8a67-31fb5f3efbbd,,,,,,,,TCP,,info,,,,82.979,10.99.235.213
,System Log,,172.22.252.32,ERROR,linux,,2025-09-30T02:16:11.369086,,LNX-9582,,,,,84bac287-b75f-4b88-9464-189a9774d3f3,,,,,,sshd,23772,,,INFO,,Password authentication,,,192.168.91.13
,Firewall,37819,172.23.219.233,,,deny,2025-09-30T01:55:43.436814,25,,,,,,b0273ada-971e-4003-bde0-20dbbe80615b,,inbound,,,,,,TCP,FW_RULE_5281,critical,,,,,10.251.62.168
,DNS,,133.170.181.59,,,,2025-09-30T02:11:05.178484,,,company.local,0,,0.63,238890b8-3287-47fc-b25b-ce0f044567f6,,,,NOERROR,,,,,,info,TXT,,,,172.16.7.23
,Security,,172.23.158.66,,,login,2025-09-30T01:29:54.637328,,,,,,,12eb2338-86ca-4eb9-bb82-9fe3f1fea2e3,successful login for user on slack,,success,,ssh,,,,,high,,,user68,,192.168.8.209
10414,Network,53703,192.168.154.114,,,,2025-09-30T02:25:55.266883,53,,,,1054221,,2c31654e-437c-402f-a3e1-fae7cd53f6cf,,,,,,,,TCP,,info,,,,293.032,151.41.150.139
,System Log,,10.178.68.61,INFO,linux,,2025-09-30T01:32:28.493278,,LNX-9498,,,,,fcb1fff6-8a61-4914-a33c-7abb5afdf8b3,,,,,,httpd,17898,,,ERROR,,Process forked,,,192.168.56.108
,Firewall,4773,172.24.152.251,,,allow,2025-09-30T02:18:58.852265,22,,,,,,aa5b201a-6d01-4e5c-80ab-835d48d93c05,,inbound,,,,,,ICMP,FW_RULE_9766,warning,,,,,10.190.212.95
,DNS,,68.19.32.1,,,,2025-09-30T01:47:22.555529,,,wiki.internal.net,0,,0.557,7d19e3e6-0225-4ef1-a78e-e7943b340032,,,,NOERROR,,,,,,info,TXT,,,,10.93.96.207
,Security,,192.168.61.178,,,password_change,2025-09-30T02:11:14.743776,,,,,,,dec48b91-75f9-449a-9c40-76e2eb237fff,system enforced for user on chrome,,success,,zoom,,,,,low,,,user74,,10.223.134.167
1057090,Network,56359,172.21.84.99,,,,2025-09-30T02:11:20.971273,25,,,,367942,,d086061a-d16d-4d29-8826-e35395af683e,,,,,,,,ICMP,,info,,,,197.35,10.137.95.47
,System Log,,192.168.205.136,ERROR,linux,,2025-09-30T02:07:29.364920,,LNX-8203,,,,,cea0986c-aaf3-414f-97d7-fd13734c4668,,,,,,sshd,52847,,,WARNING,,Service restart,,,10.183.86.228
,Firewall,46706,192.168.205.49,,,drop,2025-09-30T01:50:01.845133,80,,,,,,46d2a834-6f77-4ac0-808b-c1c3cac7afef,,outbound,,,,,,TCP,FW_RULE_1456,critical,,,,,16.76.125.199
,DNS,,236.116.56.146,,,,2025-09-30T02:29:59.797014,,,internal.net,0,,0.588,59b77baf-5cd1-4507-9e5f-545344648c38,,,,NOERROR,,,,,,info,AAAA,,,,10.15.203.15
,Security,,10.30.226.137,,,permission_change,2025-09-30T02:10:26.180907,,,,,,,db37fb80-9fe0-4d0b-8e11-bee983502b67,group membership change for user on vpn,,success,,chrome,,,,,low,,,user18,,192.168.20.4
145725,Network,57638,10.72.237.108,,,,2025-09-30T02:44:19.446220,25,,,,478053,,f6411150-4f08-43fd-922a-6596d841d996,,,,,,,,TCP,,info,,,,3.028,208.29.54.189
,System Log,,192.168.64.100,ERROR,linux,,2025-09-30T02:49:00.675211,,LNX-4144,,,,,c5b5089b-e9d9-41c1-8f94-80276ec3fd04,,,,,,mysqld,20491,,,INFO,,sudo command execution,,,10.214.255.60
,Firewall,25268,10.43.32.90,,,drop,2025-09-30T02:45:23.418145,25,,,,,,b1509651-e166-43d9-9212-2416cc8269e6,,outbound,,,,,,TCP,FW_RULE_2009,info,,,,,172.31.255.51
,DNS,,2.143.215.185,,,,2025-09-30T02:24:11.712107,,,test.org,0,,0.031,2f9e4203-4848-4c43-8eae-462ac014bc76,,,,NOERROR,,,,,,info,NS,,,,192.168.39.47
,Security,,172.29.13.253,,,logout,2025-09-30T02:36:06.109311,,,,,,,485d6a22-264b-456a-9e34-01f568a6e68c,session timeout for user on firefox,,success,,outlook,,,,,medium,,,user77,,192.168.104.213
430500,Network,58929,192.168.244.125,,,,2025-09-30T02:27:37.711380,53,,,,1331782,,da90394a-483c-46f5-885a-3d31e063da7d,,,,,,,,UDP,,info,,,,298.272,10.40.80.224
,System Log,,172.20.52.45,ERROR,linux,,2025-09-30T02:25:33.587935,,LNX-2529,,,,,6a7ab796-477d-49af-893d-805e3279ad8d,,,,,,httpd,5826,,,CRITICAL,,Process terminated,,,172.26.40.59
,Firewall,59657,172.28.142.211,,,deny,2025-09-30T02:36:35.755180,22,,,,,,36f776d7-c12a-4958-a67c-bce70408616e,,inbound,,,,,,TCP,FW_RULE_3914,info,,,,,192.168.2.112
,DNS,,162.106.93.160,,,,2025-09-30T02:55:11.534575,,,company.local,0,,0.825,abeacdda-25b2-4386-9f88-812812a5b88c,,,,NOERROR,,,,,,info,AAAA,,,,10.92.209.203
,Security,,192.168.56.215,,,file_access,2025-09-30T02:53:37.625183,,,,,,,0558bb06-3767-45bf-9e97-9a75367bfbb6,read for user on firefox,,success,,slack,,,,,critical,,,user94,,192.168.115.51
1128417,Network,61184,172.25.34.79,,,,2025-09-30T02:30:13.294447,3306,,,,929852,,2ea4042d-a36b-44ed-a0e0-5bc22a9d10e7,,,,,,,,ICMP,,info,,,,198.507,192.168.160.182
,System Log,,172.21.36.148,ERROR,windows,,2025-09-30T02:47:46.433969,,WIN-8763,,,,,a6355b45-dd18-44b0-a72d-55980690d521,,,,,,postgresql,23198,,,ERROR,,Application crash,,,10.176.235.222
,Firewall,41041,10.106.26.77,,,drop,2025-09-30T02:45:53.558316,80,,,,,,b47c3830-06e6-4fcc-9fb6-dda99b821bc1,,outbound,,,,,,UDP,FW_RULE_6354,critical,,,,,187.84.164.85
,DNS,,28.60.9.228,,,,2025-09-30T02:15:34.021312,,,company.local,0,,0.657,e73d81ab-8346-4201-89a3-e8daa7b9d8b0,,,,NOERROR,,,,,,info,CNAME,,,,192.168.223.60
,Security,,172.26.3.196,,,login,2025-09-30T02:18:40.031465,,,,,,,a0e4823c-f4b7-47d5-b7cb-6fa327efb877,account locked for user on chrome,,success,,ssh,,,,,critical,,,user93,,192.168.248.8
673721,Network,55542,172.18.205.252,,,,2025-09-30T02:50:25.395615,3389,,,,220941,,5b015de8-8542-4095-8c5b-a32a8024ae56,,,,,,,,ICMP,,info,,,,293.477,172.27.196.62
,System Log,,10.252.167.255,INFO,linux,,2025-09-30T02:20:02.775659,,LNX-2050,,,,,071cf4a7-8558-43d9-98c4-754081812c2e,,,,,,sshd,59620,,,INFO,,Configuration reload,,,172.22.141.217
,Firewall,28869,172.26.46.65,,,allow,2025-09-30T02:40:22.832113,443,,,,,,0f989026-bf9f-4ee1-92e7-2363735a03d9,,outbound,,,,,,ICMP,FW_RULE_4319,info,,,,,172.29.3.74
,DNS,,100.195.60.54,,,,2025-09-30T02:29:26.076241,,,internal.net,0,,0.64,3d1c9563-ee47-4922-932d-ddec17e7ad22,,,,NOERROR,,,,,,info,MX,,,,10.106.100.242
,Security,,172.25.115.131,,,permission_change,2025-09-30T02:47:08.899705,,,,,,,ba48e5f1-0084-461a-b086-365f3e4bed61,group membership change for user on outlook,,success,,firefox,,,,,medium,,,user60,,10.226.16.84
157026,Network,50058,192.168.16.240,,,,2025-09-30T02:52:34.945650,53,,,,1068538,,530a3a00-6c02-4124-91cc-5d966d032707,,,,,,,,TCP,,info,,,,275.009,192.168.29.222
,System Log,,10.99.121.80,ERROR,linux,,2025-09-30T02:57:27.716682,,LNX-8079,,,,,2a9806a2-ff52-4a57-9a91-8bc34d2b9f9f,,,,,,nginx,1391,,,CRITICAL,,Password authentication,,,172.24.187.237
,Firewall,53142,172.21.126.6,,,drop,2025-09-30T02:39:13.646290,22,,,,,,9e3522f1-5bae-41f8-9f99-7f5b94efd2ef,,inbound,,,,,,TCP,FW_RULE_8443,critical,,,,,165.79.139.18
,DNS,,25.30.155.4,,,,2025-09-30T02:52:04.712077,,,mail.company.local,0,,0.448,8bf8a3e7-54e6-456d-bf4a-3772feb1d182,,,,NOERROR,,,,,,info,MX,,,,172.25.234.31
,Security,,192.168.169.131,,,file_access,2025-09-30T02:38:56.427568,,,,,,,b4e02d7d-3a01-4988-b1ff-2f5527e546b5,read for user on vpn,,success,,ssh,,,,,high,,,user61,,192.168.178.33
785567,Network,65233,10.115.99.181,,,,2025-09-30T02:52:26.933747,53,,,,99357,,6bbaf7b6-38c4-4d73-8779-ca13bee3d1c6,,,,,,,,ICMP,,info,,,,1.571,192.168.60.68
,System Log,,10.106.70.32,INFO,windows,,2025-09-30T02:58:48.237170,,WIN-1582,,,,,ac97a495-06ae-4d48-90ec-2993a0ccf0f3,,,,,,postgresql,32840,,,WARNING,,Service stopped,,,10.25.215.225
,Firewall,43826,192.168.181.43,,,allow,2025-09-30T02:08:19.060497,443,,,,,,d677aeb4-ecf3-4666-b52d-862e64d0a49a,,outbound,,,,,,ICMP,FW_RULE_6958,info,,,,,10.202.120.214
,DNS,,219.83.179.247,,,,2025-09-30T02:11:05.677842,,,test.org,0,,0.154,0a1326f7-2d31-45b0-90a1-47c421023273,,,,NOERROR,,,,,,info,MX,,,,172.31.128.53
,Security,,192.168.73.123,,,file_access,2025-09-30T02:50:38.520681,,,,,,,020ac1f7-c21e-4a93-8e20-bc91cb118eff,read for user on chrome,,success,,firefox,,,,,low,,,user89,,192.168.14.163
152592,Network,53643,10.1.172.89,,,,2025-09-30T02:48:02.150883,22,,,,947231,,909cd90a-67c8-45d5-807e-b478c109af31,,,,,,,,ICMP,,info,,,,220.341,76.177.83.46
,System Log,,10.144.74.233,WARNING,linux,,2025-09-30T03:01:41.395293,,LNX-4440,,,,,c0ae9bba-9697-4e0e-9fbc-2ca9ed65555c,,,,,,mysqld,11346,,,CRITICAL,,sudo command execution,,,10.205.82.161
,Firewall,27,10.231.168.163,,,deny,2025-09-30T02:25:53.618841,3306,,,,,,8b7316e6-d78d-4470-8028-5b3168d43cac,,inbound,,,,,,TCP,FW_RULE_5216,critical,,,,,172.19.217.222
,DNS,,105.173.90.106,,,,2025-09-30T02:15:31.708862,,,test.org,0,,0.715,2e912cd4-9d8a-4230-a8a1-0c73821a4a3b,,,,NOERROR,,,,,,info,MX,,,,172.29.2.48
,Security,,192.168.61.156,,,password_change,2025-09-30T02:39:07.334703,,,,,,,bc98d0d8-5f86-4a55-ba8d-4d35ee403a85,user initiated for user on ssh,,success,,ssh,,,,,low,,,user95,,10.233.255.152
661314,Network,55167,172.29.146.203,,,,2025-09-30T02:42:22.461141,443,,,,1246948,,6cbe8ca2-b549-4944-9637-2d995c6b879f,,,,,,,,UDP,,info,,,,235.345,146.23.0.231
,System Log,,192.168.76.99,INFO,linux,,2025-09-30T02:58:07.103172,,LNX-4294,,,,,16704f1e-0f5a-403a-aeeb-90cdae682438,,,,,,mysqld,12803,,,WARNING,,Password authentication,,,192.168.215.84
,Firewall,37040,192.168.179.122,,,allow,2025-09-30T02:14:09.437808,22,,,,,,bb342ed2-ae48-4113-bae6-1723575ef649,,inbound,,,,,,UDP,FW_RULE_8437,warning,,,,,25.22.166.7
,DNS,,211.44.254.31,,,,2025-09-30T02:58:02.096185,,,mail.company.local,0,,0.142,13436a52-9152-47a6-8437-ff60cb09827a,,,,NOERROR,,,,,,info,MX,,,,10.36.109.164
,Security,,172.16.152.141,,,logout,2025-09-30T02:24:21.633661,,,,,,,dffc7568-eeb2-4845-ac44-da2a735489de,session timeout for user on slack,,success,,ssh,,,,,low,,,user40,,10.100.31.179
692542,Network,62034,10.22.36.35,,,,2025-09-30T02:38:21.363445,25,,,,1346867,,6fa20ec0-7b0f-454a-9361-bd953d5c8dd2,,,,,,,,TCP,,info,,,,173.329,39.245.158.63
,System Log,,192.168.90.145,WARNING,windows,,2025-09-30T02:41:45.977336,,WIN-7909,,,,,4afe5c78-ea77-49fa-939d-0218c74f5995,,,,,,nginx,13725,,,ERROR,,Service started,,,10.100.255.90
,Firewall,8783,172.24.178.26,,,deny,2025-09-30T02:59:12.405878,53,,,,,,e349857c-fcf8-4872-ad51-ea8cb2cbd345,,outbound,,,,,,TCP,FW_RULE_3490,critical,,,,,192.168.112.233
,DNS,,20.232.34.91,,,,2025-09-30T03:03:52.371623,,,dev.company.local,2,,0.616,ad5cd23c-35b1-49f5-91b9-adf587e63a58,,,,SERVFAIL,,,,,,info,MX,,,,172.23.56.129
,Security,,172.16.186.161,,,logout,2025-09-30T02:59:32.673587,,,,,,,0e846338-0d03-40c2-bcd8-52407877d6f4,user initiated for user on vpn,,success,,chrome,,,,,high,,,user7,,192.168.192.88
1169743,Network,60160,10.15.105.189,,,,2025-09-30T03:06:47.984445,443,,,,135981,,14570e75-5010-4eca-af26-cbe29421dc2e,,,,,,,,TCP,,info,,,,142.867,190.186.199.76
,System Log,,10.53.104.105,INFO,windows,,2025-09-30T02:43:13.348911,,WIN-5308,,,,,aa96a0f7-b840-444c-bfdb-f2a66b1989d9,,,,,,mysqld,33347,,,INFO,,Group membership changed,,,192.168.3.119
,Firewall,53476,10.243.175.200,,,drop,2025-09-30T02:30:25.741263,3389,,,,,,ee714783-5673-4528-b399-87e22c06d470,,outbound,,,,,,ICMP,FW_RULE_9548,info,,,,,106.241.100.216
,DNS,,74.238.254.205,,,,2025-09-30T02:50:18.167927,,,dev.company.local,0,,0.403,86c7eed3-a36e-4aa3-90d2-3c845608f635,,,,NOERROR,,,,,,info,A,,,,192.168.177.219
,Security,,10.91.101.141,,,logout,2025-09-30T03:11:31.419563,,,,,,,631316ec-d8aa-4856-995c-d5a46af9b77c,session timeout for user on vpn,,success,,vpn,,,,,low,,,user46,,192.168.173.106
1301283,Network,57903,10.87.80.104,,,,2025-09-30T02:49:51.705028,80,,,,183126,,29f9f4ab-20cd-462a-8c33-6bb3b4e457cf,,,,,,,,TCP,,info,,,,213.711,46.213.241.38
,System Log,,192.168.18.167,INFO,windows,,2025-09-30T03:03:23.956255,,WIN-4210,,,,,ba4ab37c-b5e2-4bbd-886a-885d81ca4e2d,,,,,,httpd,44459,,,ERROR,,User account created,,,172.26.57.91
,Firewall,3573,10.148.159.118,,,deny,2025-09-30T02:31:37.848475,22,,,,,,857bc64d-4445-4297-8611-478f6e94bcb0,,inbound,,,,,,UDP,FW_RULE_2674,warning,,,,,114.44.98.192
,DNS,,24.83.163.71,,,,2025-09-30T03:11:13.319672,,,example.com,0,,0.429,e63b7b09-7245-4ed2-b6f6-baafb9765c15,,,,NOERROR,,,,,,info,CNAME,,,,10.100.184.119
,Security,,192.168.194.58,,,password_change,2025-09-30T02:54:59.507181,,,,,,,796993e6-d1e8-4d54-afe0-ad5a88279311,user initiated for user on firefox,,success,,vpn,,,,,medium,,,user51,,10.116.57.238
1493163,Network,43322,172.21.21.190,,,,2025-09-30T02:53:41.476907,64462,,,,779993,,9e033ae3-2875-424c-afdb-5e8824918d14,,,,,,,,UDP,,info,,,,85.597,212.55.93.177
,System Log,,192.168.210.127,ERROR,linux,,2025-09-30T02:32:15.610174,,LNX-4877,,,,,0b33780b-6f8e-4e7c-a433-2379b811c462,,,,,,postgresql,64514,,,CRITICAL,,Network interface down,,,192.168.59.21
,Firewall,51424,192.168.251.126,,,drop,2025-09-30T02:50:13.615666,3306,,,,,,980bc004-63f7-4043-aa28-ca36d9f3a794,,inbound,,,,,,UDP,FW_RULE_1143,info,,,,,192.168.124.26
,DNS,,225.206.174.145,,,,2025-09-30T02:31:49.864859,,,dev.company.local,0,,0.224,623beb32-06ab-4857-9014-80bb94152154,,,,NOERROR,,,,,,info,MX,,,,192.168.105.163
,Security,,172.25.228.171,,,login,2025-09-30T02:43:18.778623,,,,,,,077a16cb-88b8-438e-af37-3bb346956d62,failed login for user on outlook,,failure,,chrome,,,,,high,,,user27,,10.219.186.108
415716,Network,59575,10.113.104.79,,,,2025-09-30T02:33:59.877295,3306,,,,327483,,f1461675-2629-4ee9-95e6-c25598966f8c,,,,,,,,TCP,,info,,,,233.209,145.227.239.220
,System Log,,10.88.100.28,ERROR,windows,,2025-09-30T03:10:53.208629,,WIN-4695,,,,,37fdf313-838c-4702-8870-f4ed3e424b1a,,,,,,nginx,65337,,,DEBUG,,Boot completed,,,10.245.145.67
,Firewall,43968,10.41.207.101,,,drop,2025-09-30T03:12:19.170113,53,,,,,,15965b18-69e5-4ef3-9732-9c6352914b5e,,inbound,,,,,,UDP,FW_RULE_6834,warning,,,,,10.126.241.253
,DNS,,23.245.44.138,,,,2025-09-30T03:09:04.831557,,,company.local,0,,0.097,ad3b924e-3902-4a8d-b7af-7666ae22ab58,,,,NOERROR,,,,,,info,NS,,,,172.22.137.178
,Security,,172.31.197.106,,,file_access,2025-09-30T03:12:17.896616,,,,,,,d8514942-3e38-4b3d-a322-04c4e4b3cff8,execute for user on outlook,,success,,ssh,,,,,medium,,,user39,,192.168.20.246
433996,Network,5944,172.21.237.161,,,,2025-09-30T02:58:59.949510,39533,,,,815910,,c7649293-6d22-456a-9b4e-6c3242c194e6,,,,,,,,ICMP,,info,,,,18.274,10.186.123.66
,System Log,,10.132.136.173,WARNING,windows,,2025-09-30T03:17:56.204805,,WIN-9124,,,,,7f1fc6af-4666-41f2-bee6-3b37ae43e7ce,,,,,,mysqld,12400,,,INFO,,Configuration changed,,,192.168.235.170
,Firewall,7192,172.30.156.50,,,drop,2025-09-30T03:01:25.525194,5432,,,,,,d3957f0a-d36e-4bae-b7c4-840e8b335d30,,inbound,,,,,,TCP,FW_RULE_5344,info,,,,,105.184.44.19
,DNS,,100.193.167.39,,,,2025-09-30T03:15:40.368498,,,internal.net,0,,0.206,aadab561-36e0-4f2f-9e54-17c5bb2fbc4d,,,,NOERROR,,,,,,info,MX,,,,192.168.22.182
,Security,,192.168.56.32,,,password_change,2025-09-30T02:24:44.130292,,,,,,,49b47907-1921-4fd8-b1f7-8975bcd32e6b,system enforced for user on chrome,,success,,zoom,,,,,medium,,,user87,,192.168.110.142
41468,Network,63544,172.27.21.163,,,,2025-09-30T03:00:12.896333,3389,,,,258028,,5ad7e122-4ee2-4664-882e-7ab7bce8dd33,,,,,,,,ICMP,,info,,,,52.556,212.131.5.26
,System Log,,192.168.188.112,WARNING,linux,,2025-09-30T02:39:50.684475,,LNX-7200,,,,,b82cc8e5-47ec-4864-8bf9-83c393efe453,,,,,,httpd,62570,,,ERROR,,Configuration reload,,,192.168.21.23
,Firewall,42357,10.2.163.177,,,drop,2025-09-30T03:13:21.843834,25,,,,,,ede87273-411b-45c5-b0f8-3ac7b33f42ff,,inbound,,,,,,TCP,FW_RULE_8101,info,,,,,192.168.223.87
,DNS,,76.114.9.184,,,,2025-09-30T02:29:27.142163,,,example.com,0,,0.672,982cf78b-34d5-4365-80c1-186f8ead27b9,,,,NOERROR,,,,,,info,A,,,,172.30.220.81
,Security,,172.31.239.132,,,permission_change,2025-09-30T02:21:53.185355,,,,,,,5870d1c2-4779-4e10-bea1-cefc977bc117,privilege escalation for user on ssh,,success,,ssh,,,,,medium,,,user87,,10.57.110.162
333922,Network,23316,172.16.44.136,,,,2025-09-30T02:22:42.638657,50347,,,,207226,,fc676496-02ec-4cd2-88b1-d74ff41b3e3f,,,,,,,,TCP,,info,,,,142.787,45.51.221.250
,System Log,,10.121.79.186,INFO,linux,,2025-09-30T02:30:23.215190,,LNX-6270,,,,,e6231e3c-aaf3-4163-9764-cb47d7f5b11d,,,,,,httpd,15552,,,WARNING,,Service restart,,,172.23.99.234
,Firewall,41106,10.184.207.250,,,allow,2025-09-30T03:00:06.066505,5432,,,,,,cdc34059-1b82-41f4-9255-53107c04a409,,outbound,,,,,,TCP,FW_RULE_3316,warning,,,,,10.71.213.186
,DNS,,206.150.69.143,,,,2025-09-30T03:15:34.226116,,,mail.company.local,0,,0.846,fa21630d-cfcb-413d-abd2-dad6e19345f5,,,,NOERROR,,,,,,info,AAAA,,,,10.111.38.97
,Security,,172.30.129.2,,,file_access,2025-09-30T02:57:30.162760,,,,,,,6ba902d9-bde3-4e8d-ab22-8d338508f2e4,delete for user on zoom,,success,,zoom,,,,,high,,,user33,,10.233.87.33
1300432,Network,50969,192.168.167.33,,,,2025-09-30T02:54:54.383314,25,,,,1261381,,92a54193-cbe6-4279-9591-5680ecb6a453,,,,,,,,ICMP,,info,,,,159.398,128.230.69.60
,System Log,,192.168.102.140,WARNING,linux,,2025-09-30T02:45:00.540353,,LNX-4432,,,,,0cbd1ab8-57c1-4815-8c84-d03853c7f229,,,,,,mysqld,10328,,,ERROR,,Configuration reload,,,172.18.212.224
,Firewall,54964,192.168.207.154,,,drop,2025-09-30T02:47:47.605592,22,,,,,,3348f795-e788-4641-9ab8-7d462effc0f7,,outbound,,,,,,TCP,FW_RULE_5428,warning,,,,,3.183.45.132
,DNS,,181.105.56.103,,,,2025-09-30T03:22:25.791449,,,dev.company.local,0,,0.606,af3625de-569f-49fa-8932-3e723bc42a1f,,,,NOERROR,,,,,,info,A,,,,172.29.93.27
,Security,,172.28.99.55,,,permission_change,2025-09-30T03:20:27.647053,,,,,,,1391fd45-bf5e-4513-a61b-7ba4e6239b84,privilege escalation for user on vpn,,success,,firefox,,,,,low,,,user42,,172.20.223.15
1078855,Network,61028,192.168.58.105,,,,2025-09-30T02:46:43.723677,3389,,,,614484,,9d62f361-f01b-4443-8cdd-f092b8340f58,,,,,,,,ICMP,,info,,,,190.465,192.168.228.174
,System Log,,192.168.62.204,WARNING,linux,,2025-09-30T03:18:14.997321,,LNX-7688,,,,,e4ae5d6f-6c93-44c8-8bbe-541a6953ca1c,,,,,,mysqld,8153,,,DEBUG,,Network interface down,,,192.168.19.174
,Firewall,25352,10.238.210.234,,,allow,2025-09-30T02:33:32.019154,25,,,,,,610d562f-7d16-40f9-993b-477dd208a0da,,outbound,,,,,,TCP,FW_RULE_5412,info,,,,,10.186.136.181
,DNS,,15.10.205.17,,,,2025-09-30T03:05:16.797684,,,example.com,0,,0.738,a4ac5c5b-9a92-4f5c-922b-991341417543,,,,NOERROR,,,,,,info,NS,,,,172.28.0.228
,Security,,172.19.148.149,,,logout,2025-09-30T03:04:56.135927,,,,,,,4f100612-e44f-4521-ac43-fc8e73ff2038,session timeout for user on firefox,,success,,vpn,,,,,medium,,,user25,,172.26.37.21
774911,Network,52281,192.168.73.110,,,,2025-09-30T02:48:06.921768,53,,,,1386274,,87c03137-2acf-4d22-ab61-263c1722fa83,,,,,,,,UDP,,info,,,,185.043,172.31.208.29
,System Log,,172.22.209.23,INFO,windows,,2025-09-30T02:30:34.121166,,WIN-2527,,,,,9a534c43-9bee-42e6-aca1-1c67b16d913c,,,,,,sshd,20749,,,INFO,,Application crash,,,172.26.87.24
,Firewall,50535,192.168.196.166,,,allow,2025-09-30T03:00:09.147483,5432,,,,,,2b023cfc-fcd8-4d0f-a6bf-065b40065e74,,inbound,,,,,,ICMP,FW_RULE_4409,critical,,,,,172.133.215.231
,DNS,,234.137.244.86,,,,2025-09-30T03:14:21.467361,,,mail.company.local,3,,0.724,f891a92b-ee1d-4b03-ac3a-4fe7dca4dc8f,,,,NXDOMAIN,,,,,,info,A,,,,192.168.20.196
,Security,,172.20.108.82,,,login,2025-09-30T02:29:18.781525,,,,,,,b9e838be-0e68-4482-ac0c-0ca2397bf920,successful login for user on ssh,,success,,firefox,,,,,low,,,user91,,192.168.3.74
865749,Network,56687,10.53.80.114,,,,2025-09-30T03:01:07.249800,3306,,,,15467,,06841854-2555-4a70-8561-3eefaf796486,,,,,,,,ICMP,,info,,,,46.188,234.10.8.137
,System Log,,10.174.228.22,WARNING,windows,,2025-09-30T03:12:31.560141,,WIN-8298,,,,,e01d60e2-62d8-440e-9788-9c8207aa3e35,,,,,,sshd,38894,,,ERROR,,Shutdown initiated,,,10.201.244.139
,Firewall,19772,192.168.157.191,,,deny,2025-09-30T02:35:06.625061,3389,,,,,,d39a7d19-c1fe-42bc-9ab8-fde20080fbdc,,outbound,,,,,,TCP,FW_RULE_8437,info,,,,,172.31.142.226
,DNS,,114.235.239.4,,,,2025-09-30T02:30:12.702927,,,test.org,0,,0.135,5efc431b-dddc-4c09-b80f-91336d2aa44e,,,,NOERROR,,,,,,info,AAAA,,,,10.60.120.176
,Security,,10.54.100.235,,,file_access,2025-09-30T02:35:40.845120,,,,,,,0f62eec3-f4ad-489d-a682-83c60b4e3695,write for user on ssh,,success,,outlook,,,,,high,,,user31,,172.28.240.95
1354414,Network,60248,10.97.153.55,,,,2025-09-30T02:27:14.007049,5432,,,,1365164,,59f4fddd-0074-4938-aad4-d717e8f0f82b,,,,,,,,TCP,,info,,,,84.998,120.198.100.147
,System Log,,172.27.120.8,ERROR,windows,,2025-09-30T02:29:47.012488,,WIN-7632,,,,,5b9873a7-1dec-49f1-9df2-515d25d1caf1,,,,,,postgresql,45866,,,CRITICAL,,Service stopped,,,172.23.249.85
,Firewall,38191,10.36.218.175,,,deny,2025-09-30T02:42:33.514554,3306,,,,,,f15b0e9d-386a-464c-8975-484dd2f03e9c,,inbound,,,,,,TCP,FW_RULE_6328,warning,,,,,16.187.110.92
,DNS,,19.238.25.213,,,,2025-09-30T02:43:51.559280,,,example.com,0,,0.743,5616be88-63d0-4e96-877b-5ff3f5b2cba1,,,,NOERROR,,,,,,info,MX,,,,192.168.48.21
,Security,,10.197.160.247,,,login,2025-09-30T02:32:12.456868,,,,,,,5079ac4b-120a-4a3a-965a-6b968eeab7c9,account locked for user on zoom,,success,,vpn,,,,,low,,,user67,,192.168.27.236
294669,Network,53340,172.26.0.186,,,,2025-09-30T02:44:38.640520,80,,,,4436,,4ac9d6b8-bf7b-4f6d-9d5f-679776b63594,,,,,,,,UDP,,info,,,,67.492,171.43.241.132
